crop,preferred_soil_types,ph_min,ph_max,water_need_mm,nitrogen_need_kg_ha,phosphorus_need_kg_ha,potassium_need_kg_ha,maturity_days
Wheat,"Loam,Peat,Clay,Sandy",5.75,7.68,381,106,44,68,105
Corn,"Sandy,Loam",5.64,7.48,medium,152,60,81,133
Soybean,"Peat,Loam,Clay,Sandy",5.89,7.68,411,20,24,61,92
Barley,Loam; Sandy,5.61,7.51,321,95,32,51,104
Canola,"Peat,Loam,Clay,Silt",5.81,7.54,362,114,47,66,135
Sunflower,"Peat,Silt,Loam,Sandy",9.5,7.33,343,83,31,78,127
Rice,"Loam,Sandy,Clay",5.61,7.39,919,,47,74,117
Oats,"Sandy,Loam",6.28,7.42,442,132,28,79,94
Rye,"Sandy,Loam,Clay",6.38,7.35,347,109,51,46,139
Sorghum,"Sandy,Loam,Clay",6.04,7.06,509,79,23,88,137
Millet,"Loam,Clay,Sandy",7.17,6.24,335,56,42,55,91
Lentil,Clay,5.77,6.95,407,99,52,53,115
Chickpea,"Clay,Sandy,Silt",7.46,6.24,329,147,53,60,156
Pea,"Clay,Silt,Sandy",5.77,6.73,522,141,41,75,157
Bean,Loam,5.51,6.67,374,123,56,47,149
Potato,Loam,6.21,7.1,328,85,22,53,147
Sweet Potato,Loam;loamy,6.36,7.27,512,111,46,51,100
Cassava,Peat,5.6,6.41,430,103,60,41,110
Tomato,"Loam,Silt",6.41,7.45,322,49,44,44,126
Cucumber,"Loam,Sandy",5.5,6.8,500,131,38,41,87
Pepper,"Clay,Sandy,Silt",6.42,7.37,357,144,45,42,155
Onion,Silt,6.16,7.27,322,39,41,54,146
Garlic,Silt,5.97,6.84,347,72,22,86,118
Carrot,"Clay,Silt",5.55,6.67,440,20,57,43,97
Beet,"Clay,Loam,Sandy",5.65,6.9,549,86,42,83,99
Spinach,Clay,6.29,7.52,321,65,37,77,151
Lettuce,"Peat,Sandy,Silt",6.49,7.47,434,29,45,55,115
Kale,"Clay,Silt",5.68,6.88,396,48,28,74,152
Cabbage,"Peat,Loam",5.94,7.21,335,24,39,81,133
Broccoli,Silt,5.78,6.93,532,128,59,84,150
Cauliflower,Loam,6,7.07,477,120,34,81,132
Pumpkin,Clay,5.65,6.76,516,123,20,50,122
Melon,"Silt,Peat,Sandy",5.82,6.87,311,45,33,48,118
Grapes,"Sandy,Peat",5.53,6.74,360,97,60,81,153
Apple,Peat,6.27,7.47,313,23,60,58,122
Pear,"Silt,Peat,Clay",5.91,7.09,326,51,60,54,136
Peach,"Sandy,Peat",5.53,6.78,344,112,39,80,131
Plum,"Clay,Loam,Sandy",5.62,6.5,396,139,57,85,96
Strawberry,"Loam,Sandy,Peat",5.73,6.68,462,31,28,68,100
Blueberry,Loam,5.64,6.8,306mm,103,52,88,104
Raspberry,Sandy,6.28,7.33,450,38,47,59,120
Banana,"Peat,Clay",5.91,6.98,358,92,44,50,113
Pineapple,"Sandy,Silt,Peat",6.38,7.52,537,53,22,87,96
Mango,Sandy,6.34,7.21,536,86,58,70,158
Cocoa,"Peat,Clay",6.13,7.07,531,148,34,52,80
Coffee,Silt,5.55,6.5,501,24,22,63,129
Tea,Peat;loamy,6.14,7.22,399,45,40,58,155
Cotton,Peat,6.16,7.42,453,119,37,70,114
Flax,"Peat,Clay",6.49,7.74,387,128,20,48,158
Hemp,"Peat,Silt",6.12,7.1,344,78,53,58,152
